General Features;Version;Last Release Date;Author;URL;Free and Open Source;License;Programming Language;Data Storage;License Cost/ Fee;Development status;Intended Audience;Hosting Features;Storage Quota;Bandwidth Quota;Other Limits;Topic Restrictions;Corporate Branding;Own Domain;Ads allowed;System Requirements;Operating System;Root Access;Webserver;Other Requirements;Datastorage;Text Files;MySQL;PostgreSQL;Oracle;SQLite;BerkeleyDB;RCS;Other;Security/Anti-Spam;Page Permissions;ACL;Authentication Backends;Host Blocking;Mail Encryption;nofollow;Blacklist;CAPTCHA;Delayed Indexing;Development/Support;Commercial Support;Preconfigured Hosting;Code Repository;Issue Tracker;Mailing List;Support Forum;IRC Channel;Common Features;Preview;Minor Changes;Change Summary;Page History;Page Revisions;Revision Diffs;Page Index;Plugin System;Special Features;Unicode Support;Right-to-Left Support;Interface Languages;;Email notification;Comments;Categories;Namespaces;Page Redirection;Conflict Handling;Search;Wiki Farming;Structured Data;Links;CamelCase;Freelinks;Backlinks;InterWiki;SisterWiki;Image Links;Windows Shares;Page Redirects;Syntax Features;HTML Tags;Math formulas;Tables;CREOLE support;Markdown Support;Textile Support;BBCode Support;Emoticon Images;Syntax Highlighting;Footnotes;Quoting;Internal Comments;Custom styles;FAQ Tags;Scripting;Content Includes;Feed Aggregation;Usability;Section Editing;Page Templates;Double-Click Edit;Toolbar;WYSIWYG Editing;Access Keys;Auto Signature;Statistics;Recent Changes;Wanted Pages;Orphaned Pages;Most/Least Popular;Recent Visitors;Analysis;Output;HTML;CSS Stylesheets;Printer Friendly;Mobile Friendly;Themes & Skins;RSS Feeds;ATOM Feeds;Abbreviations;Auto-TOC;Raw Export;HTML Export;XML export;PDF Export;Media and Files;File Attachments;Media Revisions;Embedded Flash;Embedded Video;Image Editing;SVG Editing;MindMap Editing;Media Search;Extras;Calendar;Image Galleries;Forums;Blogs;Ticket System;Syntax Examples;Internal Link;;;;;;External Link;;;;;;;;Headlines;;;;;;;;;;;;;Bold Format;;;;;;Italics Format;;;;;;Underline Format;;;;;;Monospace Format;;;;;;;Strikethrough Format;;;Superscript Format;;;Subscript Format;;;;Images;;;;;;;;;;;;;;;;;;Aligning Text;;;;;;;Text Indentation;;;;Bulleted Lists;;;;;;;;;;Numbered Lists;;;;;;;;;;Definition Lists;;;;;;;Horizontal Rule;;;Try it;;;;;;
BlueSpice for MediaWiki ;2.22.1;41683;Hallo Welt! GmbH, Markus Glaser, Robert Vogel, Sebastian Ulbricht, Marc Reymann, Thomas Lorenz, Mathias Scheer, Tobias Weichart e.a.;blue-spice.org;Yes;GPL;PHP;Database;0;Mature;Enterprise + Technical Teams;BlueSpice for MediaWiki ;does not apply;does not apply;does not apply;does not apply;does not apply;does not apply;does not apply;BlueSpice for MediaWiki ;*nix, Windows;Yes;Apache 2 / IIS >=5;JRE 5, Applicationserver (Tomcat or JBoss);BlueSpice for MediaWiki ;No;Yes;Yes;Yes;No;No;No;;BlueSpice for MediaWiki ;Yes;Yes;Yes;Yes;No;Optional;Yes;Plugin;No;BlueSpice for MediaWiki ;Yes, 4 listed;Yes;;sourceforge.net/projects/bluespice/support;;sourceforge.net/projects/bluespice/support;;BlueSpice for MediaWiki ;Yes;Yes;Yes;Yes;Unlimited;Between all;Yes;Yes;BlueSpice for MediaWiki ;Yes;No;2 languages;German, English;Yes;Discussion Pages;Yes;Yes;Yes;Conflict Resolution;Full Text;Plugin;Plugin;BlueSpice for MediaWiki ;No;Yes;Yes;Yes;No;Yes;;Yes;BlueSpice for MediaWiki ;Optional;Plugin;simple + complex;No;No;No;No;Yes;Yes;Yes;No;Yes;Yes;No;Java Script;Yes;Yes;BlueSpice for MediaWiki ;Yes;Yes;Optional;Yes;Yes;Yes;Yes;BlueSpice for MediaWiki ;Yes;Yes;Yes;Yes;Plugin;Yes;BlueSpice for MediaWiki ;XHTML 1.0 Transitional;Yes;Print CSS;Plugin;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes;Yes;BlueSpice for MediaWiki ;Yes;Yes;Plugin;Plugin;No;No;Plugin;Keywords;BlueSpice for MediaWiki ;Plugin;Yes;Plugin;Yes;Optional;BlueSpice for MediaWiki ;[[a link]];[[a link|with title]];;;;;[http://example.org The title];;;;;;;;==Section==;===Subsection===;====Sub-subsection====;;;;;;;;;;;'''bold''';;;;;;''italic'';;;;;;<u>underlined</u>;;;;;;<tt>monospace</tt>;;;;;;;<s>strikethrough</s>;;;<sup>superscript</sup>;;;<sub>subscript</sub>;;;;[[Image:wiki.png]];;;;;;;;;;;;;;;;;;<center>Centered</center>;;;;;;;: indented line;;;;* Item 1;** Item 1.2;* Item 2;;;;;;;;# Item 1;## Item 1.2;# Item 2;;;;;;;;"; term : definition";;;;;;;----;;;;;;;;;
BoltWire ;3.3.6 (probably later, check the site);01/20/2010;Dan Vis;www.boltwire.com;Yes;Custom - Free;php;Files;0;Mature;General Users & Advanced Developers;BoltWire ;does not apply;does not apply;does not apply;does not apply;does not apply;does not apply;does not apply;BoltWire ;Windows, Mac, Unix, etc.;No;Any with PHP support;None;BoltWire ;Yes;No;No;No;No;No;No;Easily Customizable Datastorage;BoltWire ;Yes;Yes;Easily Customizable Authentication;Yes;Yes;Yes;Yes;Yes;Yes;BoltWire ;Yes, 1 listed;No;www.boltwire.com;www.boltwire.com;www.boltwire.com;www.boltwire.com;None;BoltWire ;Yes;Optional;Yes;Yes;Unlimited;Between all;Yes;Yes;BoltWire ;Yes;Yes;6 languages;German, English, Italian, Swedish, Chinese, Chinese Traditional;Yes;Threaded;Yes;Yes;Yes;Conflict Resolution;Full Text;Yes;Yes;BoltWire ;Optional;Yes;Yes;Yes;Yes;Yes;;Yes;BoltWire ;Some;Yes;complex;Yes;No;No;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes, multiple kinds;Yes;Yes;BoltWire ;Yes;Yes;Yes;Yes;No;Plugin;Yes;BoltWire ;Yes;Yes;Yes;Optional;Yes;Yes;BoltWire ;XHTML 1.0 Transitional;Yes;Print View;Optional;Yes;Yes;Optional;Yes;Plugin;Plugin;Yes;Optional;No;BoltWire ;Yes;No;Yes;Yes;No;No;No;No;BoltWire ;Plugin;Yes;Plugin;Plugin;Plugin;BoltWire ;[[link|label]];;;;;;[[www.example.com]];;;;;;;;! Header 1;!! Header 2;!!! Header 3;;;;;;;;;;;**bold**;<b>bold</b>;;;;;//italics//;<i>italics</i>;;;;;__underline__;<u>underline</u>;;;;;<pre>monospace</pre>;;;;;;;<strike>strike</strike>;;;^^superscript^^;<sup>superscript</sup>;;<sub>subscript</sub>;;;;img:image.gif;[^image.gif parameters^];;;;;;;;;;;;;;;;;<center>text</center>;<right>text</right>;<left>text</left>;;;;;->;Text;<-;;* Item 1;** Item 1.1;* Item 2;;;;;;;;# Item 1;## Item 1.1;# Item 2;;;;;;;;<dl><dt><dd>;;;;;;;----;;;;;;;;;
BrainKeeper ;does not apply;does not apply;BrainKeeper, Inc.;www.brainkeeper.com;does not apply;does not apply;does not apply;does not apply;from $35 for 9 logins, scaled pricing from there;does not apply;Enterprise, Corporations, and Business Teams;BrainKeeper ;Unlimited;Unlimited;None;No Restrictions;Yes;Yes;No;BrainKeeper ;does not apply;does not apply;does not apply;does not apply;BrainKeeper ;does not apply;does not apply;does not apply;does not apply;does not apply;does not apply;does not apply;does not apply;BrainKeeper ;Yes;Yes;does not apply;;;;;Yes;No;BrainKeeper ;Yes, 1 listed;does not apply;does not apply;Issue Tracker is available to anyone with a BrainKeeper site.;www.brainkeeper.com;Support System is Embedded within the application.;;BrainKeeper ;Yes;Yes;Yes;Yes;Unlimited;Between all;Yes;Yes;BrainKeeper ;Yes;;Not localized;;Yes;Flat;Yes;Yes;Yes;Page Locking;Full Text;does not apply;;BrainKeeper ;No;Yes;No;Yes;No;Yes;Yes;;BrainKeeper ;Some;No;simple + complex;;;;;No;;Yes;Yes;;Yes;Yes;;Yes;Yes;BrainKeeper ;Yes;;No;Yes;Yes;Yes;Yes;BrainKeeper ;Yes;No;;Yes;Yes;Yes;BrainKeeper ;HTML 4;Yes;Print CSS;;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes;Yes;BrainKeeper ;Yes;Yes;Yes;Yes;Yes;;No;Contents;BrainKeeper ;;;;;;BrainKeeper ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ButorWiki ;36924;39150;Aiman Sawan;www.butor.com;Yes;LGPL;Java;Files;0;Mature;SMB;ButorWiki ;does not apply;does not apply;does not apply;does not apply;does not apply;does not apply;does not apply;ButorWiki ;Any platform that can run Java 1.4+;No;Any webserver;Tomcat 4.1 +;ButorWiki ;Yes;No;No;No;No;No;No;;ButorWiki ;Yes;Yes;None;;;;;;Yes;ButorWiki ;No;No;;www.butor.com;N/A;N/A;N/A;ButorWiki ;Yes;No;Yes;Yes;Unlimited;Between all;Yes;;ButorWiki ;;;Not localized;;Optional;Threaded;Optional;Optional;;;Full Text;;;ButorWiki ;No;Yes;Yes;No;No;Yes;;;ButorWiki ;All;No;simple + complex;No;No;No;No;No;No;No;No;Optional;Optional;No;Internal Macros;;;ButorWiki ;;;No;No;Yes;No;No;ButorWiki ;Yes;No;No;;;;ButorWiki ;HTML 4;Yes;No;;Optional;Yes;No;No;Yes;No;No;No;Plugin;ButorWiki ;Yes;Yes;Optional;Optional;No;No;No;Keywords;ButorWiki ;;;;;;ButorWiki ;"<a href=""...""></a>";;;;;;"<a href=""...""></a>";;;;;;;;<h1>Header 1</h1>;<h2>Header 2</h2>;...;;;;;;;;;;;<b>Bold</b>;;;;;;<i>Italics</i>;;;;;;<u>Underline</u>;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CanvasWiki ;1.2.101;June 15, 2006;Raymond Camden;canvas.riaforge.org;Yes;Apache;ColdFusion;Database;0;Mature;Mildly technical;CanvasWiki ;does not apply;does not apply;does not apply;does not apply;does not apply;does not apply;does not apply;CanvasWiki ;Windows, Linux, Solaris;No;Apache, IIS;ColdFusion MX;CanvasWiki ;;Yes;;;;;;Access, SQL Server;CanvasWiki ;No;No;;;;;;;;CanvasWiki ;No;;;;;ray.camdenfamily.com;;CanvasWiki ;;;Yes;Yes;;;Yes;;CanvasWiki ;;;;;;;;;;;;;;CanvasWiki ;Yes;;;;;;;;CanvasWiki ;;;;;;;;;;;;;;;;;;CanvasWiki ;;;;;;;;CanvasWiki ;;;;;;;CanvasWiki ;;;;;;;;;;;;;;CanvasWiki ;;;;;;;;;CanvasWiki ;;;;;;CanvasWiki ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CentralDesktop ;does not apply;does not apply;Central Desktop;www.centraldesktop.com;does not apply;does not apply;does not apply;does not apply;Free Version Available;does not apply;"Director, VP, & C-Level Managers; Enterprise & SMB; Anyone who wants to put up a hosted corporate intranet, wiki, project workspace, or extranet.";CentralDesktop ;from 25MB and up;unlimited;Depends on plan;No;Yes;Yes;Yes;CentralDesktop ;does not apply;does not apply;does not apply;does not apply;CentralDesktop ;does not apply;does not apply;does not apply;does not apply;does not apply;does not apply;does not apply;does not apply;CentralDesktop ;Yes;No;does not apply;No;;No;;Yes;;CentralDesktop ;Yes, 2 listed;does not apply;does not apply;;;forum.centraldesktop.com;;CentralDesktop ;Yes;Yes;No;Yes;Unlimited;Between all;Yes;;CentralDesktop ;Yes;;Not localized;;Yes;Flat;Yes;Yes;Yes;Conflict Resolution;Full Text;does not apply;;CentralDesktop ;Optional;Yes;No;Yes;Yes;Yes;Yes;;CentralDesktop ;Some;No;simple + complex;;No;No;No;No;Yes;No;Yes;Yes;Yes;No;html/css/templating;Yes;Yes;CentralDesktop ;Yes;Yes;Optional;Yes;Yes;Yes;Yes;CentralDesktop ;Yes;No;No;Yes;Yes;Optional;CentralDesktop ;HTML 4;Yes;Print View;Yes;Optional;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;CentralDesktop ;Yes;Yes;Yes;Yes;No;No;No;Contents;CentralDesktop ;Yes;Yes;Yes;Yes;;CentralDesktop ;WikiPage;;;;;;http://www.example.com;;;;;;;;<h1>headline1</h1>;<h2>headline1</h2>;;;;;;;;;;;;<b>text</b>;;;;;;<i>text</i>;;;;;;<u>text</u>;;;;;;<pre>text</pre>;;;;;;;<strike>text</strike>;;;<sup>superscript</sup>;;;<sub>subscript</sub>;;;;"<img src=""image.gif"" />";;;;;;;;;;;;;;;;;;"<span align=""right"">text</span>";;;;;;;"&nbsp;&nbsp;&nbsp;";;;;<ul>;<li>test</li>;</ul>;;;;;;;;<ol>;<li>test</li>;</ol>;;;;;;;;;;;;;;;<hr>;;;;;;;;;
Clearspace ;41699;07/13/07;Jive Software;www.jivesoftware.com;No;Commercial;Java;Database;$29/user;Mature;Corporate, Public, Private, Intranet;Clearspace ;does not apply;does not apply;does not apply;does not apply;does not apply;does not apply;does not apply;Clearspace ;Unix, Mac OSX, Windows, Linux;Yes;J2EE Compliant;Java 1.5;Clearspace ;No;Yes;Yes;Yes;No;No;No;SQL Server, DB2;Clearspace ;Yes;Yes;LDAP, Active Directory;No;No;No;Yes;Yes;Yes;Clearspace ;Yes, 5 listed;Yes;;;;www.jivesoftware.com/support;;Clearspace ;Yes;Yes;Yes;Yes;Unlimited;Between all;Yes;Yes;Clearspace ;Yes;No;Not localized;;Yes;Threaded;Yes;Yes;Yes;Conflict Resolution;Full Text;;;Clearspace ;No;Yes;Yes;Yes;No;Yes;Yes;;Clearspace ;Some;No;simple;No;No;Yes;Yes;Yes;No;No;Yes;No;Plugin;No;;Plugin;Plugin;Clearspace ;No;;No;Yes;Yes;Yes;No;Clearspace ;Yes;No;No;No;No;No;Clearspace ;XHTML 1.0 Transitional;Yes;Print View;;Yes;Yes;Yes;No;No;No;No;No;Yes;Clearspace ;Yes;Yes;Optional;Yes;No;No;No;Keywords;Clearspace ;;;;;;Clearspace ;[link];;;;;;[http://example.com];;;;;;;;h1. ;h2. ;h3.;h4.;h5.;;;;;;;;;*bold*;;;;;;+italics+;;;;;;_underline_;;;;;;;;;;;;;--strikethrough--;;;3^rd^;;;2~n~;;;;!imageURL!;;;;;;;;;;;;;;;;;;;;;;;;;;;;;* bullet 1;** bullet 1a;* bullet 2;;;;;;;;# item 1;## item 1a;;;;;;;;;;;;;;;;-----;;;;;;;;;
codeBeamer ;V 5.0;5.0.0;Intland Software;www.intland.com;No;Commercial & Free;Java;Database;call Intland;Mature;Corporate, Public, Private;codeBeamer ;does not apply;does not apply;does not apply;does not apply;does not apply;does not apply;does not apply;codeBeamer ;Linux, Unix, Windows, platforms with JDK 1.4;No;Apache Tomcat 5.5 (included) and others;JDK 1.4 (included);codeBeamer ;No;Yes;Optional;Yes;No;No;No;Derby (included);codeBeamer ;Yes;Yes;LDAP, Active Directory, SiteMinder;No;No;Optional;Optional;Yes;No;codeBeamer ;No;Yes;Yes (SVN or CVS per default);Yes,see www.intland.com/services/support.html;Forum, see www.intland.com/services/support.html;Yes, see www.intland.com/services/support.html;--;codeBeamer ;Yes;Yes;Yes;Yes;Unlimited;Between all;Yes;Yes;codeBeamer ;Yes;No;Not localized;;Yes;Threaded;Yes;Yes;Yes;Page Locking;Full Text;;;codeBeamer ;Optional;Yes;Yes;Yes;No;Yes;No;;codeBeamer ;Plugin;Plugin;simple + complex;No;No;No;No;Plugin;Plugin;Plugin;Plugin;No;Yes;Yes;Groovy / Velocity and very powerful API;Yes;Yes;codeBeamer ;Yes;;No;Yes;Yes;No;Plugin;codeBeamer ;Yes;Yes;Yes;Yes;Plugin;No;codeBeamer ;HTML 4;Yes;Print CSS;;Optional;Yes;Yes;No;Plugin;Yes;Yes;Yes;Yes;codeBeamer ;Yes;Yes;Yes;Yes;No;No;Plugin;Contents;codeBeamer ;;;;;;codeBeamer ;[link];[text|link];[text|wiki:link];;;;[http://www.intland.com/];[example|http://www.intland.com/];[text|wiki:link];;;;;;!heading;!!heading;!!!heading;;;;;;;;;;;__text__ ;;;;;;''text'';;;;;;%%(text-decoration: underline) text %%;;;;;;{{text}};;;;;;;%%(text-decoration: line-through) deleted text %%;;;%%(vertical-align: sub) text %%;;;%%(vertical-align: sub) text %%;;;;[http://www.intland.com/images/intland_01.gif];;;;;;;;;;;;;;;;;;%%(text-align: right) text %%;;;;;;;%%(text-indent: 20px) 20 pixels %%;%%(text-indent: 30%) 30 percent %%;;;* One;* Two;* Three;** Three.One;;;;;;;# One;# Two;# Three;## Three.One;;;;;;;";term:definition";;;;;;;----       ;;;;;;;;;
Confluence ;41675;13th August, 2013;Atlassian;www.atlassian.com;No;Commercial + Free personal/open source project/community use;Java;Database;starting at US $10 installed (unlimited wikis);Mature;Enterprise + Technical Teams;Confluence ;Unlimited;;No;No;Yes;Optional;No;Confluence ;Windows, Linux and Unix variants;No;Apache Tomcat;Oracle JDK 1.6.0_4+;Confluence ;No;Yes;Yes;Yes;No;No;No;;Confluence ;Yes;Yes;LDAP, NTLM, Siteminder, CAS and more;No;Optional;Optional;No;Yes;No;Confluence ;Yes, 35 listed;Yes;Source included with commercial license;jira.atlassian.com;www.atlassian.com;answers.atlassian.com;;Confluence ;Yes;Yes;Yes;Yes;Unlimited;Between all;Yes;Yes;Confluence ;Yes;No;15 languages;Danish, German, Greek, English, Spanish, Finnish, French, Hungarian, Japanese, Korean, Portuguese, Russian, Swahili, Chinese, Chinese Traditional;Yes;Threaded;Yes;Yes;Plugin;Conflict Resolution;Full Text;Yes;Plugin;Confluence ;Yes;Yes;Yes;Optional;No;Yes;Yes;Plugin;Confluence ;Optional;Plugin;simple + complex;No;No;Yes;No;Yes;Yes;Plugin;Yes;Plugin;Yes;Yes;Macros, plugins, widgets, JavaScript and more;Yes;Yes;Confluence ;No;Yes;No;Yes;Yes;Yes;No;Confluence ;Yes;Yes;Yes;Yes;No;Yes;Confluence ;HTML 4;Yes;Print CSS;Plugin;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes;Yes;Confluence ;Yes;Yes;Yes;Yes;Plugin;Plugin;Plugin;Contents;Confluence ;Plugin;Yes;Plugin;Yes;Plugin;Confluence ;[Page Title];[Link Title|Page Title#anchor];[~username];[^attachment.doc];;;[http://www.example.com];[Link Title|http://www.example.com];[Shortcut Link|PageName@otherwiki];;;;;;h1. Top Level Heading;h2. Smaller Heading;h6. Smallest Heading;;;;;;;;;;;*bold*;;;;;;_italics_;;;;;;+underline+;;;;;;{{monospace}};;;;;;;-strikethrough-;;;^superscript^;;;~subscript~;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;* one;** one-two;* two;* three;;;;;;;# one;## one-two;# two;# three;;;;;;;;;;;;;;----;;;;;;;;;
ConnectedText ;5.0.0.1;September 21, 2011;Eduardo Mauro;www.connectedtext.com;No;Commercial;Programming Language Not relevant (completely self-contained);Database;39,95;Mature;Anyone doing research needing a tool with wiki capabilities for data organization and retrieval. Standalone wiki system;ConnectedText ;does not apply;does not apply;does not apply;does not apply;does not apply;does not apply;does not apply;ConnectedText ;Windows;No;No need;none;ConnectedText ;Yes;No;No;No;No;No;No;Firebird;ConnectedText ;No;No;No need;No;No;No;No;No;No;ConnectedText ;No;No;No;Yes;No;forum.connectedtext.com;No;ConnectedText ;Yes;Yes;Yes;Yes;Unlimited;Between all;Yes;Yes;ConnectedText ;Yes;No;5 languages;Danish, German, English, Italian, Portuguese;No;Flat;Yes;No;Yes;None;Full Text;No;Yes;ConnectedText ;No;Yes;Yes;Yes;No;Yes;Yes;Yes;ConnectedText ;Some;Yes;simple + complex;No;No;No;No;Yes;Yes;Yes;No;Yes;Yes;No;Yes;Yes;No;ConnectedText ;Yes;Yes;Yes;Yes;No;Yes;No;ConnectedText ;Yes;No;Yes;No;No;Yes;ConnectedText ;XHTML 1.0 Transitional;Yes;Print View;;Yes;No;No;No;Yes;Yes;Yes;Yes;No;ConnectedText ;Yes;No;Yes;Yes;No;No;No;No;ConnectedText ;Yes;;;;;ConnectedText ;[[wiki page]];[[wiki page|Title]];;;;;[[$URL:www.connectedtext.com]];[[$URL:www.connectedtext.com|Title]];;;;;;;= Head1 =;== Head 2 ==;=== Head 3 ====;;;;;;;;;;;**bold**;;;;;;//italic//;;;;;;__Underline__;;;;;;{{{Monospace}}};;;;;;;--Strikethrough--;;;^^Superscript^^;;;vvSubscriptvv;;;;[[$IMG:Image.jpeg]];;;;;;;;;;;;;;;;;;~~Centered text~~;;;;;;;: First level of indenting;:: Second level;;;* First item;* Seconditem;;;;;;;;;1. First item;1. Second item;;;;;;;;;";Term:Definition";;;;;;;----;;;;;;;;;
Corendal Wiki ;3.0.2;40291;Thierry Danard;www.corendal.com;Yes;GPL;Java;Database;0;Mature;Corporate;Corendal Wiki ;does not apply;does not apply;does not apply;does not apply;does not apply;does not apply;does not apply;Corendal Wiki ;Unix / Windows;No;Apache Tomcat, Oracle Application Server;Java 5.0;Corendal Wiki ;No;Yes;No;Yes;No;No;No;;Corendal Wiki ;Yes;Yes;Active Directory or Local Accounts;No;No;No;No;No;No;Corendal Wiki ;No;No;;;;;;Corendal Wiki ;Yes;No;Yes;Yes;Unlimited;No;No;Yes;Corendal Wiki ;Yes;Yes;Not localized;;Yes;Flat;Yes;Yes;No;None;Full Text;No;Yes;Corendal Wiki ;No;Yes;Yes;No;No;Yes;Yes;Yes;Corendal Wiki ;All;No;simple + complex;No;No;No;No;No;No;No;No;No;No;No;;No;No;Corendal Wiki ;No;;No;No;Yes;Yes;No;Corendal Wiki ;No;No;No;Yes;No;No;Corendal Wiki ;XHTML 1.0 Transitional;Yes;Print View;Yes;No;No;No;No;Yes;No;No;No;No;Corendal Wiki ;No;No;No;No;No;No;No;No;Corendal Wiki ;No;No;No;No;No;Corendal Wiki ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cospire ;does not apply;does not apply;Snouthold Inc.;cospire.com;does not apply;does not apply;does not apply;does not apply;Free;does not apply;General;Cospire ;1 GB free, $10 month per additional GB;None;None;No restrictions unless a public wiki, then typical restrictions apply;Yes;No;Yes;Cospire ;does not apply;does not apply;does not apply;does not apply;Cospire ;does not apply;does not apply;does not apply;does not apply;does not apply;does not apply;does not apply;does not apply;Cospire ;Yes;;does not apply;No;No;;No;;No;Cospire ;No;does not apply;does not apply;Available within system;;;;Cospire ;Yes;Yes;No;Yes;Unlimited;No;Yes;;Cospire ;Yes;;Not localized;;Optional;Flat;Yes;No;;;Full Text;does not apply;;Cospire ;No;Yes;;;;Yes;;;Cospire ;Some;Yes;simple;;;;;Yes;No;;;;;;;;;Cospire ;Yes;;No;Yes;Yes;;No;Cospire ;Yes;No;Yes;;;;Cospire ;;;;;;;;;;;;;;Cospire ;Yes;No;;;No;No;;;Cospire ;;;;;;Cospire ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
cyWiki ;0.9beta;41112;Michelle Rudolph-Lilith;www.newscienceportal.com;Yes;BSD;PHP;Files;free;Beta;private users, scientists, developers;cyWiki ;does not apply;does not apply;does not apply;does not apply;does not apply;does not apply;does not apply;cyWiki ;UNIX-based, all PHP supported;No;Apache;Apache/IIS, probably everything which supports PHP;cyWiki ;Yes;No;No;No;No;No;No;;cyWiki ;No;No;n/a;No;No;No;No;No;No;cyWiki ;No;No;;www.newscienceportal.com;;www.newscienceportal.com;;cyWiki ;No;No;No;No;None;No;Yes;Yes;cyWiki ;Yes;No;Not localized;;No;No;Yes;No;Yes;None;Full Text;No;No;cyWiki ;No;Yes;No;No;No;Yes;No;Yes;cyWiki ;Optional;Yes;simple + complex;No;No;No;No;No;Yes;Yes;Yes;Yes;Yes;No;JavaScript/jQuery;Yes;Yes;cyWiki ;No;Yes;No;No;No;No;No;cyWiki ;No;No;No;Yes;No;Yes;cyWiki ;HTML 4;Yes;Print CSS;Yes;Yes;Yes;No;No;Yes;No;No;No;No;cyWiki ;Yes;No;Yes;Yes;No;No;No;Contents;cyWiki ;No;Yes;No;No;No;cyWiki ;[About cyWiki];[About|About cyWiki];;;;;http://www.newscienceportal.com/NSL;[New Science Library|http://www.newscienceportal.com/NSL];;;;;;;! Title;!! Chapter;!!! Section;!!!! Subsection;!!!!! Subsubsection;!!{DEF 1} Special Heading;;;;;;;;'''bold''';;;;;;''italics'';;;;;;'__underline__';;;;;;##monospace##;;;;;;;'--strike through--';;;This is a{sup}superscript{/sup};;;This is a{sub}subscript{/sub};;;;[http://www.newscienceportal.com/WLSD/Web/cyWiki/images/icon.png|width=100];;[IMG:Great Sphinx of Giza/Great Sphinx of Giza - 1.jpg|center|width=300|title=The Great Sphinx in Giza|caption=The 'Great Sphinx of Giza', commonly referred to as the Sphinx, is a limestone statue of a reclining or couchant sphinx that stands on the Giza Plateau on the west bank of the Nile in Giza, Egypt.];;;;;;;;;;;;;;;;;;;;;;;~This text is indented.;<TAB>This text is indented.;;;* Item 1;** Item 1.1;** Item 1.2;*** Item 1.2.1;* Item 2;** Item 2.1;;;;;# Item 1;## Item 1.1;## Item 1.2;### Item 1.2.1;# Item 2;## Item 2.1;;;;;!!{DEF 1} Special Heading;;;;;;;====;----;;;;;;;;
Daisy ;41641;Sept 4 2007;Outerthought;www.daisycms.org;Yes;Apache License v2;Java;Files, DB;n/a;Mature;technical documentation, webmasters, knowledge management;Daisy ;does not apply;does not apply;does not apply;does not apply;does not apply;does not apply;does not apply;Daisy ;any (Java-based);Yes;any;MySQL, PostgreSQL;Daisy ;Yes;Yes;Optional;;;;;;Daisy ;Yes;Yes;ntlm, ldap;;;;;;;Daisy ;No;Yes;svn.cocoondev.org;issues.cocoondev.org;lists.cocoondev.org;;;Daisy ;Yes;No;Yes;Yes;Unlimited;Between all;Yes;Yes;Daisy ;Yes;;6 languages;English, French, Spanish, Dutch, , Russian;Yes;Flat;Yes;Yes;No;Page Locking;Full Text;;;Daisy ;No;;Yes;;No;Yes;;;Daisy ;All;No;simple + complex;No;No;No;No;No;No;Yes;;No;Yes;No;;Yes;Optional;Daisy ;Optional;;No;Yes;Yes;No;No;Daisy ;Yes;No;Optional;No;No;No;Daisy ;XHTML 1.0 Transitional;Yes;Print View;;Yes;Yes;Yes;Yes;Yes;Yes;Optional;Optional;Optional;Daisy ;Yes;Yes;Yes;Optional;No;No;No;Keywords;Daisy ;;;;;;Daisy ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
